Nested Sampling Global Log-Evidence           :   -0.451449858120087377E+01  +/-    0.933704241348699560E-01
Nested Importance Sampling Global Log-Evidence:   -0.450931011643353941E+01  +/-    0.474621092125156671E-01

Dim No.       Mean        Sigma
   1   -0.609218570963408101E+01    0.663906844108549943E+00
   2   -0.311000637727165304E-01    0.606158361599647755E+00
   3    0.119441142505879405E+01    0.663675438965224629E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.704143173221946839E+01
   2   -0.848948258678843271E+00
   3    0.570147369542031157E+00

MAP Parameters
Dim No.        Parameter
   1   -0.593926161656588114E+01
   2    0.392455299475211739E+00
   3    0.174712141729789688E+00
