Nested Sampling Global Log-Evidence           :   -0.854885293929337031E+01  +/-    0.867774991581555383E-01
Nested Importance Sampling Global Log-Evidence:   -0.876484264088338350E+01  +/-    0.306373316432816088E-01

Dim No.       Mean        Sigma
   1   -0.656490603628650415E+01    0.450104016209228908E+00
   2   -0.687537600292477791E+00    0.376370912009488801E+00
   3    0.115229741675572650E+01    0.613253446494307464E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.584854628740917448E+01
   2   -0.191624544814709585E+00
   3    0.180660212900073724E+01

MAP Parameters
Dim No.        Parameter
   1   -0.729945210130469846E+01
   2   -0.137357218097696632E+01
   3    0.272358515085820652E+00
