Nested Sampling Global Log-Evidence           :   -0.885265590154416593E+01  +/-    0.910765385064391114E-01
Nested Importance Sampling Global Log-Evidence:   -0.889057678174478028E+01  +/-    0.511193945363388330E-01

Dim No.       Mean        Sigma
   1   -0.659848596581478386E+01    0.436828340650559144E+00
   2   -0.736993092549259488E+00    0.314240025618376217E+00
   3    0.127610067244757697E+01    0.593400782949981664E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.595128796535665572E+01
   2   -0.270037895003425676E+00
   3    0.177067312709662272E+01

MAP Parameters
Dim No.        Parameter
   1   -0.688248665403109783E+01
   2   -0.833951645342293379E+00
   3    0.694647885401681653E+00
