Nested Sampling Global Log-Evidence           :   -0.858834137705822087E+01  +/-    0.836019477232860103E-01
Nested Importance Sampling Global Log-Evidence:   -0.993983179100587577E+01  +/-    0.409898744905584991E-01

Dim No.       Mean        Sigma
   1   -0.696549631737864239E+01    0.349573585937391629E+00
   2   -0.104553922081640205E+01    0.237682304208591211E+00
   3    0.117121035046604316E+01    0.622050563565889614E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.674771250429099023E+01
   2   -0.812962105207429730E+00
   3    0.125244246610803955E+01

MAP Parameters
Dim No.        Parameter
   1   -0.701289224729803973E+01
   2   -0.101195990047317075E+01
   3    0.159045231159984901E+01
